Club,Latitude,Longitude,level,Countytitles
Ballyea,52.786536,-9.028852,1,2
The Banner,52.839899,-9.020741,4,0
Bodyke,52.894794,-8.551515,2,0
Broadford,52.803566,-8.634245,1,0
Clarecastle,52.816335,-8.971463,1,7
Clonboney,52.856269,-9.402602,5,0
Clonlara,52.719853,-8.557878,1,1
Clooney Quin,52.836998,-8.855581,1,0
Corofin,52.945215,-9.067417,2,0
Cratloe,52.695542,-8.760835,1,2
Crusheen,52.936095,-8.897585,1,2
Eire Og,52.831917,-8.991242,1,0
Ennistymon,52.935604,-9.320408,3,0
Feakle,52.923348,-8.651068,1,1
Inagh-Kilnamona,52.877704,-9.180225,1,0
Kilkee Bealatha,52.678652,-9.640321,5,0
Killanena,52.995012,-8.734388,2,0
Kilmaley,52.813881,-9.095376,1,2
Meelick,52.699332,-8.651787,4,0
Newmarket-on-Fergus,52.760392,-8.888669,1,2
O'Callaghan's Mills,52.839795,-8.671893,1,0
Ogonnelloe,52.87161,-8.457885,3,0
Parteen,52.680444,-8.602901,2,0
Ruan,52.933075,-8.987374,2,0
Sixmilebridge,52.744333,-8.778205,1,13
Smith O'Briens,52.803572,-8.445836,2,0
St. Joseph's Doora-Barefield,52.84253,-8.905599,2,3
Tubber,53.015345,-8.909461,2,0
Tulla,52.86171,-8.744897,2,1
Whitegate,52.951401,-8.374184,1,0
Wolfe Tones na Sionna,52.704007,-8.868853,1,2
