Club,Latitude,Longitude,Senior
Ballyea,52.786536,-9.028852,1.0
Broadford,52.803566,-8.634245,1.0
Clarecastle,52.816335,-8.971463,1.0
Clonlara,52.719853,-8.557878,1.0
Clooney Quin,52.836998,-8.855581,1.0
Cratloe,52.695542,-8.760835,1.0
Crusheen,52.936095,-8.897585,1.0
Eire Og,52.831917,-8.991242,1.0
Feakle,52.923348,-8.651068,1.0
Inagh-Kilnamona,52.877704,-9.180225,1.0
Kilmaley,52.813881,-9.095376,1.0
Newmarket-on-Fergus,52.760392,-8.888669,1.0
O'Callaghan's Mills,52.839795,-8.671893,1.0
Sixmilebridge,52.744333,-8.778205,1.0
Whitegate,52.951401,-8.374184,1.0
Wolfe Tones na Sionna,52.704007,-8.868853,1.0
