Club,Latitude,Longitude,Countytitles
Kilkenny_Ballyhale Shamrocks,52.469273,-7.203421,15.0
Kilkenny_Clara,52.646032,-7.145416,3.0
Kilkenny_Dicksboro,52.657331,-7.272713,2.0
Kilkenny_Dunnamaggin,52.499667,-7.291821,1.0
Kilkenny_Glenmore,52.342786,-7.058737,5.0
Kilkenny_Graigue Ballycallan,52.618084,-7.421157,2.0
Kilkenny_James Stephens,52.643431,-7.244448,4.0
Kilkenny_O'Loughlin Gaels,52.658047,-7.2363,4.0
Kilkenny_St. Martins,52.78906,-7.120407,1.0
Kilkenny_Tullaroan,52.66078,-7.444063,1.0
Kilkenny_Young Irelands Gowran,52.63165,-7.053094,2.0
Cork_Blackrock National,51.892967,-8.418853,5.0
Cork_Carbery Rangers,51.58455,-9.024721,1.0
Cork_Carrigtwohill,51.908418,-8.265356,1.0
Cork_Charleville Rovers,52.352309,-8.678303,1.0
Cork_Erins Own,51.914474,-8.364297,3.0
Cork_Glen Rovers Hurling,51.916033,-8.465475,3.0
Cork_Midleton,51.920291,-8.175952,5.0
Cork_Na Piarsaigh,51.919007,-8.4952,3.0
Cork_Newtownshandrum,52.345624,-8.769257,4.0
Cork_Sarsfields,51.928476,-8.387074,4.0
Cork_St. Finbarrs,51.877498,-8.498558,5.0
Tipperary_Boherlahan Dualla,52.569376,-7.895163,3.0
Tipperary_Borris Ileigh,52.750016,-7.953908,12.0
Tipperary_Cappawhite,52.578074,-8.165604,3.0
Tipperary_Cashel King Cormacs,52.509829,-7.877165,3.0
Tipperary_Clonoulty Rossmore,52.611941,-7.958055,9.0
Tipperary_Drom Inch,52.719275,-7.913289,3.0
Tipperary_Holycross Ballycahill,52.649036,-7.876006,3.0
Tipperary_Kildangan,52.929492,-8.24371,3.0
Tipperary_Kilruane McDonaghs,52.94121,-8.041756,3.0
Tipperary_Loughmore Castleiney,52.77012,-7.788202,9.0
Tipperary_Moycarkey Borris,52.641573,-7.739852,6.0
Tipperary_Mullinahone CJ Kickhams,52.514282,-7.501527,3.0
Tipperary_Eire Og Nenagh,52.867161,-8.214474,3.0
Tipperary_Thurles Sarsfields,52.682659,-7.823156,24.0
Tipperary_Toomevara,52.8499,-8.041037,33.0
Limerick_Adare,52.563478,-8.807065,5.0
Limerick_Ahane,52.691413,-8.51522,3.0
Limerick_Bruree,52.422124,-8.649791,1.0
Limerick_Ballybrown,52.63613,-8.731899,2.0
Limerick_Claughaun,52.658899,-8.59472,1.0
Limerick_Garryspillane,52.433684,-8.415602,1.0
Limerick_Kilmallock,52.39783,-8.574572,6.0
Limerick_Na Piarsaigh,52.670358,-8.669887,6.0
Limerick_Patrickswell,52.598473,-8.713725,14.0
Limerick_South Liberties,52.600826,-8.604484,1.0
Dublin_Ballyboden St. Endas,53.288879,-6.316999,21.0
Dublin_Craobh Chiaráin,53.408745,-6.199604,12.0
Dublin_Erins Isle,53.384397,-6.298535,3.0
Dublin_Faughs,53.296273,-6.32952,12.0
Dublin_Kilmacud Crokes,53.287115,-6.200248,9.0
Dublin_O'Tooles,53.39743,-6.184348,18.0
Dublin_St. Vincents,53.373972,-6.228733,12.0
Dublin_UCD,53.306089,-6.229345,9.0
Dublin_Cuala,53.223045,-6.12123,24.0
Wexford_Buffers Alley,52.56338,-6.328415,8.0
Wexford_Cloughbawn,52.466959,-6.731111,1.0
