Year,Winner,Opponent
2020[7],Kiladangan 1-28,Loughmore-Castleiney 3-20 A.E.T.
2019[8],Borris-Ileigh 1-15,Kiladangan 1-12
2018[9],Clonoulty-Rossmore 0-23,Nenagh Éire Óg 2-13
2017[10],Thurles Sarsfields 1-24,Borris-Ileigh 0-11
2016[11],Thurles Sarsfields 0-27,Kiladangan 1-15
2015[12],Thurles Sarsfields 1-18,Nenagh Éire Óg 3-11
2014[13],Thurles Sarsfields 2-22,Loughmore-Castleiney 3-11
2013 [14],Loughmore-Castleiney 1-17,Nenagh Éire Óg 1-16
2012[15],Thurles Sarsfields 1-21,Drom-Inch 2-15
2011,Drom-Inch 1-19,Clonoulty-Rossmore 2-14 [16]
2010,Thurles Sarsfields 1-16,Clonoulty-Rossmore 1-07 [17]
2009,Thurles Sarsfields 0-14,Drom-Inch 0-05 [18]
2008,Toomevara 2-14,Thurles Sarsfields 0-17 [19]
2007,Loughmore-Castleiney 0-22,Drom-Inch 0-13
2006,Toomevara 1-21,Nenagh Éire Óg 2-14
2005,Thurles Sarsfields 1-17,Drom-Inch 0-15
2004,Toomevara 4-12,Éire Óg Annacarty/Golden-Kilfeacle 2-12
2003,Toomevara 3-19,Thurles Sarsfields 3-16
2002,"Mullinahone 0-14, 2-10 (R)","Thurles Sarsfields 0-14, 1-11 (R) [20]"
2001,Toomevara 1-22,Thurles Sarsfields 1-13
2000,Toomevara 2-10,Thurles Sarsfields 0-11
1999,Toomevara 1-17,Nenagh Éire Óg 0-13
1998,Toomevara 0-16,Clonoulty-Rossmore 1-10
1997,Clonoulty-Rossmore 0-17,Mullinahone 1-12
1996,Boherlahan-Dualla 1-16,Toomevara 2-12
1995,Nenagh Éire Óg 2-25,Boherlahan-Dualla 2-08
1994,Toomevara 3-11,Cashel King Cormacs 1-09
1993,Toomevara 1-14,Nenagh Éire Óg 1-13
1992,"Toomevara 0-11, 0-12 (R)","Thurles Sarsfields 1-08, 1-06 (R)"
1991,Cashel King Cormacs 2-08,Holycross-Ballycahill 1-05
1990,Holycross-Ballycahill 0-13,Cashel King Cormacs 0-10
1989,Clonoulty-Rossmore 1-11,Holycross-Ballycahill 1-09
1988,"Loughmore-Castleiney 1-06, 2-07 (R)","Borris-Ileigh 0-09, 1-08 (R)"
1987,Cappawhite 1-17,Loughmore-Castleiney 2-13
1986,Borris-Ileigh 0-14,Kilruane MacDonaghs 0-07
1985,Kilruane MacDonaghs 2-11,Roscrea 0-10
1984,Moycarkey-Borris 2-08,Lorrha 0-09
1983,Borris-Ileigh 0-17,Loughmore-Castleiney 1-11
1982,"Moycarkey-Borris 3-09, 2-12 (R)","Roscrea 1-15, 0-11 (R)"
1981,Borris-Ileigh 1-14,Roscrea 0-12
1980,Roscrea 3-11,Kilruane MacDonaghs 2-13
1979,Kilruane MacDonaghs 2-18,Thurles Sarsfields 3-06
1978,Kilruane MacDonaghs 2-14,Roscrea 2-13
